#m	G	BBR
m	G	BBR
0	1.00E-04	1.25000000000000E-03
0.1	1.00E-04	1.21871000000000E-03
0.2	1.00E-04	1.18743000000000E-03
0.3	1.00E-04	1.15614000000000E-03
0.4	1.00E-04	1.12486000000000E-03
0.5	1.00E-04	1.09358000000000E-03
0.6	1.00E-04	1.06230000000000E-03
0.7	1.00E-04	1.03102000000000E-03
0.8	1.00E-04	9.99750000000000E-04
0.9	1.00E-04	9.68478000000000E-04
1	1.00E-04	9.37207000000000E-04
0	2.00E-04	2.50000000000000E-03
0.1	2.00E-04	2.43735000000000E-03
0.2	2.00E-04	2.37470000000000E-03
0.3	2.00E-04	2.31207000000000E-03
0.4	2.00E-04	2.24944000000000E-03
0.5	2.00E-04	2.18682000000000E-03
0.6	2.00E-04	2.12420000000000E-03
0.7	2.00E-04	2.06160000000000E-03
0.8	2.00E-04	1.99900000000000E-03
0.9	2.00E-04	1.93641000000000E-03
1	2.00E-04	1.87383000000000E-03
0	5.00E-04	6.25000000000000E-03
0.1	5.00E-04	6.09280000000000E-03
0.2	5.00E-04	5.93565000000000E-03
0.3	5.00E-04	5.77854000000000E-03
0.4	5.00E-04	5.62149000000000E-03
0.5	5.00E-04	5.46448000000000E-03
0.6	5.00E-04	5.30752000000000E-03
0.7	5.00E-04	5.15062000000000E-03
0.8	5.00E-04	4.99376000000000E-03
0.9	5.00E-04	4.83695000000000E-03
1	5.00E-04	4.68019000000000E-03
0	1.00E-03	1.25000000000000E-02
0.1	1.00E-03	1.21837000000000E-02
0.2	1.00E-03	1.18676000000000E-02
0.3	1.00E-03	1.15517000000000E-02
0.4	1.00E-03	1.12360000000000E-02
0.5	1.00E-03	1.09204000000000E-02
0.6	1.00E-03	1.06051000000000E-02
0.7	1.00E-03	1.02900000000000E-02
0.8	1.00E-03	9.97506000000000E-03
0.9	1.00E-03	9.66033000000000E-03
1	1.00E-03	9.34579000000000E-03
0	2.00E-03	2.50000000000000E-02
0.1	2.00E-03	2.43598000000000E-02
0.2	2.00E-03	2.37203000000000E-02
0.3	2.00E-03	2.30817000000000E-02
0.4	2.00E-03	2.24439000000000E-02
0.5	2.00E-03	2.18069000000000E-02
0.6	2.00E-03	2.11706000000000E-02
0.7	2.00E-03	2.05352000000000E-02
0.8	2.00E-03	1.99005000000000E-02
0.9	2.00E-03	1.92666000000000E-02
1	2.00E-03	1.86335000000000E-02
0	5.00E-03	6.25000000000000E-02
0.1	5.00E-03	6.08424000000000E-02
0.2	5.00E-03	5.91900000000000E-02
0.3	5.00E-03	5.75428000000000E-02
0.4	5.00E-03	5.59006000000000E-02
0.5	5.00E-03	5.42636000000000E-02
0.6	5.00E-03	5.26316000000000E-02
0.7	5.00E-03	5.10046000000000E-02
0.8	5.00E-03	4.93827000000000E-02
0.9	5.00E-03	4.77658000000000E-02
1	5.00E-03	4.61538000000000E-02
0	1.00E-02	1.25000000000000E-01
0.1	1.00E-02	1.21495000000000E-01
0.2	1.00E-02	1.18012000000000E-01
0.3	1.00E-02	1.14551000000000E-01
0.4	1.00E-02	1.11111000000000E-01
0.5	1.00E-02	1.07692000000000E-01
0.6	1.00E-02	1.04294000000000E-01
0.7	1.00E-02	1.00917000000000E-01
0.8	1.00E-02	9.75610000000000E-02
0.9	1.00E-02	9.42249000000000E-02
1	1.00E-02	9.09091000000000E-02
0	2.00E-02	2.49936000000000E-01
0.1	2.00E-02	2.42175000000000E-01
0.2	2.00E-02	2.34509000000000E-01
0.3	2.00E-02	2.26937000000000E-01
0.4	2.00E-02	2.19458000000000E-01
0.5	2.00E-02	2.12069000000000E-01
0.6	2.00E-02	2.04769000000000E-01
0.7	2.00E-02	1.97557000000000E-01
0.8	2.00E-02	1.90430000000000E-01
0.9	2.00E-02	1.83388000000000E-01
1	2.00E-02	1.76428000000000E-01
0	5.00E-02	6.02113000000000E-01
0.1	5.00E-02	5.78355000000000E-01
0.2	5.00E-02	5.55290000000000E-01
0.3	5.00E-02	5.32890000000000E-01
0.4	5.00E-02	5.11126000000000E-01
0.5	5.00E-02	4.89972000000000E-01
0.6	5.00E-02	4.69401000000000E-01
0.7	5.00E-02	4.49391000000000E-01
0.8	5.00E-02	4.29919000000000E-01
0.9	5.00E-02	4.10963000000000E-01
1	5.00E-02	3.92502000000000E-01
0	1.00E-01	1.01029000000000E+00
0.1	1.00E-01	9.60767000000000E-01
0.2	1.00E-01	9.13625000000000E-01
0.3	1.00E-01	8.68696000000000E-01
0.4	1.00E-01	8.25829000000000E-01
0.5	1.00E-01	7.84884000000000E-01
0.6	1.00E-01	7.45736000000000E-01
0.7	1.00E-01	7.08268000000000E-01
0.8	1.00E-01	6.72374000000000E-01
0.9	1.00E-01	6.37958000000000E-01
1	1.00E-01	6.04929000000000E-01
0	2.00E-01	1.40289000000000E+00
0.1	2.00E-01	1.32147000000000E+00
0.2	2.00E-01	1.24539000000000E+00
0.3	2.00E-01	1.17414000000000E+00
0.4	2.00E-01	1.10727000000000E+00
0.5	2.00E-01	1.04439000000000E+00
0.6	2.00E-01	9.85151000000000E-01
0.7	2.00E-01	9.29250000000000E-01
0.8	2.00E-01	8.76412000000000E-01
0.9	2.00E-01	8.26391000000000E-01
1	2.00E-01	7.78968000000000E-01
0	5.00E-01	1.74414000000000E+00
0.1	5.00E-01	1.62948000000000E+00
0.2	5.00E-01	1.52402000000000E+00
0.3	5.00E-01	1.42670000000000E+00
0.4	5.00E-01	1.33660000000000E+00
0.5	5.00E-01	1.25295000000000E+00
0.6	5.00E-01	1.17509000000000E+00
0.7	5.00E-01	1.10243000000000E+00
0.8	5.00E-01	1.03446000000000E+00
0.9	5.00E-01	9.70752000000000E-01
1	5.00E-01	9.10913000000000E-01
